year,engine_volume,mileage,imgs_count,g_start_year,g_end_year,g_number,g_age_car_release,g_span,car_age,log_mileage,mileage_per_year,log_mileage_per_year,log_imgs_count,steering_wheel,kz_registration,g_is_current,g_is_restyling,generation_number_missing,is_premium,is_big_city,is_electric,is_new_car,is_recent_car,is_old_car,is_metallic,color_known,has_low_mileage,has_high_mileage,is_automatic_like,has_few_photos,has_many_photos
-0.9306850937091832,0.6549804940054588,1.0112782756491825,-0.004767710133825199,-0.8014796550783222,-0.9720507067442989,0.1685361515795246,-0.6278912577036263,-0.8034737917441005,0.9306850937091808,0.792652832566876,-0.154431907619215,0.13604755644778083,0.3093581421615622,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
-0.8222586090347281,0.367761489282088,0.8490543096808026,-0.7064987379899685,-0.6932775608727274,-0.8691643505264157,0.6608321140922276,-0.6278912577036263,-0.8034737917441005,0.8222586090347258,0.7329621856607137,-0.1917288976195716,0.11147564035565678,-0.7187924334530296,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.3643910324070032,0.367761489282088,1.0112782756491825,0.08294866834819271,-1.1260859376951067,-1.1778234191800654,0.1685361515795246,-1.1616709981606401,-0.40972265447008993,1.3643910324070008,0.792652832566876,-0.41264183839091506,-0.0466090575573704,0.39928311273798667,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.47885920705873203,0.367761489282088,-0.4892934095583314,-0.6187823595079506,0.28054128697762604,0.15969921165241646,-0.8160557734458815,0.9734479636674152,-0.40972265447008993,-0.4788592070587343,-0.03691511641157845,-0.26010671262022594,0.06494089133285356,-0.5440839454088052,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.15357975303536697,-0.9725938660936428,-0.4758855987710448,-0.7064987379899685,0.28054128697762604,0.05681285543453325,-0.8160557734458815,-0.6278912577036263,-0.8034737917441005,-0.15357975303536928,-0.02456781341266786,-0.6363248696445739,-0.23400255923098395,-0.7187924334530296,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.6896704864303682,-0.015197183682406476,-0.4207051167469004,1.0478288316503896,-1.7752985029286756,-1.898027912705248,-0.8160557734458815,0.4396682232104014,-0.8034737917441005,1.689670486430366,0.024470804688151767,-1.308831879990532,-1.1367578881138833,1.1394405700003623,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
-2.014949940453733,-0.015197183682406476,0.37264307762316307,1.1355452101324077,-1.7752985029286756,-1.898027912705248,-0.8160557734458815,-1.1616709981606401,-0.8034737917441005,2.014949940453731,0.5292763184061281,-0.9817554881035341,-0.6064766263598578,1.1914917961683567,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8041386610820971,-0.5896351931291484,-0.9191869193745381,1.3109779670964434,1.0379559464167898,1.0856764176133655,-0.8160557734458815,-1.1616709981606401,0.37777962007793126,-0.8041386610820993,-0.5714113581807551,-0.5609690986231032,-0.16722149029402195,1.2904156279351484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0209916304310072,-1.0683335343347666,-0.44873741806623646,-0.6187823595079506,1.0379559464167898,1.0856764176133655,0.1685361515795246,-0.09411151724661247,0.37777962007793126,-1.0209916304310094,-9.39492092837851e-05,1.8596055524000483,0.9981703845041437,-0.5440839454088052,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.587285691733187,-0.5896351931291484,0.0866016696294172,-0.18020046709786103,0.6051475695944105,0.46835828030606613,-0.8160557734458815,-0.09411151724661247,-0.40972265447008993,-0.5872856917331893,0.3790703549689481,1.0288151001421022,0.7194600278500688,0.11128999438577038,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.912565145756552,0.8464598304877062,-1.016521298955566,-0.35563322406189685,1.1461580406223846,1.0856764176133655,-0.8160557734458815,-1.1616709981606401,-0.01597151719607933,-0.9125651457565543,-0.7575168265249578,-0.6019957876234957,-0.2030731538422434,-0.1173629016236218,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.587285691733187,-0.5896351931291484,-0.5136270044535884,0.34609780379424643,0.4969454753888157,0.46835828030606613,2.137720001630337,0.4396682232104014,-0.01597151719607933,-0.5872856917331893,-0.05978428712839357,-0.10967551961878687,0.1648230646147571,0.6403486982265129,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.04515326836091196,2.761253195310179,-0.28651345209785656,-0.8819314949540044,0.17233919277203125,-0.04607350078334997,-0.8160557734458815,-0.6278912577036263,-0.8034737917441005,-0.045153268360914274,0.13327221305645343,-0.5073188130072055,-0.1220449825372956,-1.1455134772382143,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.912565145756552,-0.5896351931291484,-0.5298494010504263,-0.6187823595079506,0.8215517580056002,0.5712446365239494,0.6608321140922276,0.4396682232104014,-0.8034737917441005,-0.9125651457565543,-0.07537329289463465,0.8749650163906307,0.6590337709776316,-0.5440839454088052,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.587285691733187,-0.5896351931291484,-0.3676254350820465,-0.7064987379899685,0.8215517580056002,1.0856764176133655,1.1531280766049308,-1.1616709981606401,1.1652818946259524,-0.5872856917331893,0.06915638235934006,0.16725463113386183,0.3277804716627223,-0.7187924334530296,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.6054056396858181,1.3251581716933243,0.5651623692361378,-0.18020046709786103,-0.4768733724615377,1.0856764176133655,-0.32375981093317846,-0.6278912577036263,5.89029554191408,0.6054056396858158,0.6174347103084594,-0.24571138314640376,0.07490360407474292,0.11128999438577038,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.4728175170814581,-0.20667652016465393,2.167772929037763,-0.8819314949540044,-1.2342880319007015,-1.3835961316158318,-0.8160557734458815,-1.1616709981606401,-0.8034737917441005,1.472817517081456,1.1290651732721875,0.18471376656402863,0.33728387815753663,-1.1455134772382143,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.47885920705873203,0.367761489282088,-0.3676254350820465,1.661843481024515,0.6051475695944105,0.46835828030606613,-0.8160557734458815,-0.6278912577036263,-0.40972265447008993,-0.4788592070587343,0.06915638235934006,-0.054973267618263794,0.19899485969315933,1.4704311260653122,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
