brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Toyota,Land Cruiser Prado,2006,Внедорожник,бензин,2.7,500000,Автомат,Полный привод,1,1,8,2002.0,2009.0,0.0,0.0,0.0,4.0,7.0,1,0,Шымкент,Туркестанская область,tier_2,1,0,20,0,0,1,13_20,0,черный,1,13.122365377402328,25000.0,10.12667110305036,0,0,1,suv_like,2.1972245773362196,0,0,Toyota__Land Cruiser Prado
Lexus,GX 460,2018,Внедорожник,бензин,4.6,93341,Автомат,Полный привод,1,1,11,2013.0,2026.0,1.0,2.0,1.0,5.0,13.0,0,1,Атырау,Атырауская область,regional_center,0,0,8,0,0,0,8_12,0,черный,1,11.444025446315177,11667.625,9.364658894859865,0,0,1,suv_like,2.4849066497880004,0,0,Lexus__GX 460
Hyundai,Accent,2012,Седан,бензин,1.6,151282,Автомат,Передний привод,1,1,40,2010.0,2017.0,0.0,4.0,0.0,2.0,7.0,0,0,Алматы,Алматинская область,tier_1,1,0,14,0,0,0,13_20,1,черный,1,11.926907533913079,10805.857142857143,9.287936132270403,0,0,1,sedan_like,3.713572066704308,0,1,Hyundai__Accent
BMW,428,2014,Купе,бензин,2.0,135000,Автомат,Полный привод,1,1,8,2013.0,2017.0,0.0,0.0,0.0,1.0,4.0,1,1,Астана,Акмолинская область,tier_1,1,0,12,0,0,0,8_12,0,белый,1,11.813037464800539,11250.0,9.328212292571072,0,0,1,sport_open,2.1972245773362196,0,0,BMW__428
Toyota,Camry,2007,Седан,бензин,2.4,265487,Автомат,Передний привод,1,1,8,2006.0,2009.0,0.0,0.0,0.0,1.0,3.0,1,0,Тараз,Жамбылская область,regional_center,0,0,19,0,0,1,13_20,0,черный,1,12.489324920902568,13973.0,9.544953739112396,0,0,1,sedan_like,2.1972245773362196,0,0,Toyota__Camry
Chevrolet,Monza,2024,Седан,бензин,1.5,12000,Робот,Передний привод,1,1,11,2022.0,2026.0,1.0,2.0,1.0,2.0,4.0,0,0,Алматы,Алматинская область,tier_1,1,0,2,0,1,0,2_3,1,серый,1,9.392745258631441,6000.0,8.699681400989514,0,0,1,sedan_like,2.4849066497880004,0,0,Chevrolet__Monza
Audi,A5,2010,Купе,бензин,2.0,95000,Автомат,Полный привод,1,1,13,2007.0,2011.0,0.0,1.0,0.0,3.0,4.0,0,1,Алматы,Алматинская область,tier_1,1,0,16,0,0,1,13_20,0,белый,1,11.461642696843066,5937.5,8.689211855214294,0,0,1,sport_open,2.639057329615259,0,0,Audi__A5
BMW,320,2002,Седан,бензин,2.2,280000,Автомат,Задний привод,1,1,10,2001.0,2006.0,0.0,0.0,1.0,1.0,5.0,1,1,Караганда,Карагандинская область,regional_center,0,0,24,0,0,1,20_plus,0,серебристый,1,12.54254845357358,11666.666666666666,9.364576762415895,0,0,1,sedan_like,2.3978952727983707,0,0,BMW__320
Audi,A6,1995,Седан,бензин,2.6,526000,Механика,Передний привод,1,1,6,1994.0,1997.0,0.0,0.0,0.0,1.0,3.0,1,1,Туркестан,Туркестанская область,regional_center,0,0,31,0,0,1,20_plus,1,хамелеон,1,13.173058392858724,16967.74193548387,9.739128220859298,0,0,0,sedan_like,1.9459101490553132,0,0,Audi__A6
Mercedes-Benz,E 230,1992,Седан,бензин,2.3,333333,Автомат,Задний привод,1,1,7,1987.0,1993.0,0.0,0.0,1.0,5.0,6.0,1,1,Алматы,Алматинская область,tier_1,1,0,34,0,0,1,20_plus,1,черный,1,12.716900269294165,9803.911764705883,9.190638739579846,0,0,1,sedan_like,2.0794415416798357,0,0,Mercedes-Benz__E 230
Chevrolet,Cruze,2013,Седан,бензин,1.6,225000,Механика,Передний привод,1,1,5,2012.0,2015.0,0.0,0.0,1.0,1.0,3.0,1,0,Алматы,Алматинская область,tier_1,1,0,13,0,0,0,13_20,0,unknown,0,12.323860125621126,17307.69230769231,9.758964099833726,0,0,0,sedan_like,1.791759469228055,0,0,Chevrolet__Cruze
Audi,A6,2017,Седан,бензин,2.0,222222,Робот,Полный привод,1,1,10,2014.0,2018.0,0.0,0.0,1.0,3.0,4.0,1,1,Астана,Акмолинская область,tier_1,1,0,9,0,0,0,8_12,1,серый,1,12.311436661181874,24691.333333333332,10.114248083071676,0,0,1,sedan_like,2.3978952727983707,0,0,Audi__A6
Lexus,RX 300,1999,Кроссовер,бензин,3.0,204000,Автомат,Полный привод,1,1,25,1997.0,2003.0,0.0,1.0,0.0,2.0,6.0,0,1,Алматы,Алматинская область,tier_1,1,0,27,0,0,1,20_plus,0,белый,1,12.225880174775122,7555.555555555556,8.930170751005322,0,0,1,suv_like,3.258096538021482,0,1,Lexus__RX 300
Lexus,LX 470,2001,Внедорожник,бензин,4.7,406000,Автомат,Полный привод,1,1,0,1998.0,2002.0,0.0,2.0,0.0,3.0,4.0,0,1,Усть-Каменогорск,Восточно-Казахстанская область,regional_center,0,0,25,0,0,1,20_plus,0,белый,1,12.914110901635024,16240.0,9.695294188174604,0,0,1,suv_like,0.0,1,0,Lexus__LX 470
Hyundai,Palisade,2025,Кроссовер,бензин,3.5,8400,Автомат,Полный привод,1,1,28,2022.0,2026.0,1.0,1.0,1.0,3.0,4.0,0,0,Астана,Акмолинская область,tier_1,1,0,1,1,1,0,0_1,1,черный,1,9.036106025364846,8400.0,9.036106025364846,0,0,1,suv_like,3.367295829986474,0,1,Hyundai__Palisade
Lexus,RX 350,2007,Кроссовер,бензин,3.5,215606,Автомат,Полный привод,1,1,9,2005.0,2009.0,0.0,2.0,1.0,2.0,4.0,0,1,Усть-Каменогорск,Восточно-Казахстанская область,regional_center,0,0,19,0,0,1,13_20,1,синий,1,12.281212585022388,11347.684210526315,9.33685708760132,0,0,1,suv_like,2.302585092994046,0,0,Lexus__RX 350
Mercedes-Benz,C 200,2016,Седан,бензин,2.0,199000,Автомат,Задний привод,1,1,13,2014.0,2018.0,0.0,0.0,0.0,2.0,4.0,1,1,Караганда,Карагандинская область,regional_center,0,0,10,0,0,0,8_12,0,unknown,0,12.201065128819632,19900.0,9.898525260706313,0,0,1,sedan_like,2.639057329615259,0,0,Mercedes-Benz__C 200
Hyundai,Sonata,2019,Седан,бензин,2.0,100000,Автомат,Передний привод,1,1,5,2019.0,2026.0,1.0,8.0,0.0,0.0,7.0,0,0,Алматы,Алматинская область,tier_1,1,0,7,0,0,0,4_7,0,серебристый,1,11.51293546492023,14285.714285714286,9.567085313465029,0,0,1,sedan_like,1.791759469228055,0,0,Hyundai__Sonata
Lexus,RX 300,2020,Кроссовер,бензин,2.0,42000,Автомат,Полный привод,1,1,17,2019.0,2026.0,1.0,4.0,1.0,1.0,7.0,0,1,Алматы,Алматинская область,tier_1,1,0,6,0,0,0,4_7,1,серый,1,10.645448706505872,7000.0,8.853808274977197,0,0,1,suv_like,2.8903717578961645,0,1,Lexus__RX 300
Kia,K5,2025,Седан,бензин,2.0,36500,Автомат,Передний привод,1,1,13,2023.0,2026.0,1.0,3.0,1.0,2.0,3.0,0,0,Астана,Акмолинская область,tier_1,1,0,1,1,1,0,0_1,1,черный,1,10.505094936455558,36500.0,10.505094936455558,0,1,1,sedan_like,2.639057329615259,0,0,Kia__K5
