brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,price,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,target_log_price,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Chevrolet,Cobalt,2014,Седан,бензин,1.5,210000,Механика,Передний привод,1,1,9,3400000,2011.0,2026.0,1.0,2.0,0.0,3.0,15.0,0,15.039286283703994,0,Астана,Акмолинская область,tier_1,1,0,12,0,0,0,8_12,0,белый,1,12.25486757159303,17500.0,9.770013301136158,0,0,0,sedan_like,2.302585092994046,0,0,Chevrolet__Cobalt
Mercedes-Benz,CLA 200,2014,Седан,бензин,1.6,150000,Робот,Передний привод,1,1,9,8500000,2013.0,2016.0,0.0,0.0,0.0,1.0,3.0,1,15.955576839107596,1,Алматы,Алматинская область,tier_1,1,0,12,0,0,0,8_12,0,черный,1,11.918397239722838,12500.0,9.433563920090563,0,0,1,sedan_like,2.302585092994046,0,0,Mercedes-Benz__CLA 200
Hyundai,Santa Fe,2021,Кроссовер,бензин,2.5,49000,Робот,Передний привод,1,1,12,16500000,2020.0,2026.0,1.0,4.0,1.0,1.0,6.0,0,16.61887099947687,0,Астана,Акмолинская область,tier_1,1,0,5,0,0,0,4_7,0,unknown,0,10.799595985047786,9800.0,9.19023970026918,0,0,1,suv_like,2.5649493574615367,0,0,Hyundai__Santa Fe
Chevrolet,Aveo,2014,Седан,газ-бензин,1.6,217000,Автомат,Передний привод,1,1,9,3300000,2011.0,2015.0,0.0,0.0,0.0,3.0,4.0,1,15.009433329466965,0,Актобе,Актюбинская область,regional_center,0,0,12,0,0,0,8_12,1,белый,1,12.28765724080691,18083.333333333332,9.802801280744804,0,0,1,sedan_like,2.302585092994046,0,0,Chevrolet__Aveo
Toyota,Camry,2014,Седан,бензин,3.5,243000,Автомат,Передний привод,1,1,8,9000000,2011.0,2014.0,0.0,0.0,0.0,3.0,3.0,1,16.012735246411598,0,Жезказган,Улытауская область,other_city,0,0,12,0,0,0,8_12,0,черный,1,12.400820837540556,20250.0,9.915959454031448,0,0,1,sedan_like,2.1972245773362196,0,0,Toyota__Camry
Mercedes-Benz,E 500,2005,Седан,бензин,5.0,277000,Автомат,Задний привод,1,1,44,7500000,2002.0,2006.0,0.0,0.0,0.0,3.0,4.0,1,15.830413711839864,1,Алматы,Алматинская область,tier_1,1,0,21,0,0,1,20_plus,1,серебристый,1,12.531776395271262,13190.47619047619,9.487326156846816,0,0,1,sedan_like,3.8066624897703196,0,1,Mercedes-Benz__E 500
Chevrolet,Onix,2023,Седан,бензин,1.0,120000,Автомат,Передний привод,1,1,3,4500000,2019.0,2026.0,1.0,2.0,0.0,4.0,7.0,0,15.319588176962746,0,Астана,Акмолинская область,tier_1,1,0,3,0,1,0,2_3,0,unknown,0,11.695255355062795,40000.0,10.596659732783579,0,1,1,sedan_like,1.3862943611198906,1,0,Chevrolet__Onix
Chevrolet,Cobalt,2025,Седан,бензин,1.5,10900,Автомат,Передний привод,1,1,3,6790000,2020.0,2026.0,1.0,2.0,1.0,5.0,6.0,0,15.730961646810274,0,Туркестан,Туркестанская область,regional_center,0,0,1,1,1,0,0_1,0,белый,1,9.296609807128359,10900.0,9.296609807128359,0,0,1,sedan_like,1.3862943611198906,1,0,Chevrolet__Cobalt
Chevrolet,Aveo,2013,Седан,бензин,1.6,222000,Механика,Передний привод,1,1,15,2400000,2011.0,2015.0,0.0,0.0,0.0,2.0,4.0,1,14.690979711984754,0,Актобе,Актюбинская область,regional_center,0,0,13,0,0,0,13_20,0,серебристый,1,12.310437165348775,17076.923076923078,9.745541860236953,0,0,0,sedan_like,2.772588722239781,0,1,Chevrolet__Aveo
Audi,A8,2001,Седан,бензин,3.7,500,Автомат,Полный привод,1,1,13,5000000,1999.0,2002.0,0.0,1.0,1.0,2.0,3.0,0,15.424948670398354,1,Алматы,Алматинская область,tier_1,1,0,25,0,0,1,20_plus,0,серебристый,1,6.2166061010848646,20.0,3.044522437723423,1,0,1,sedan_like,2.639057329615259,0,0,Audi__A8
